#
#"theta"	"Average Phase_1 (rx=20)"
#---------------------------------
5.0000000000000	0.056717036853132
7.0000000000000	0.079223902603661
9.0000000000000	0.10131988210721
11.000000000000	0.12261406148444
13.000000000000	0.14334737884117
15.000000000000	0.16403915859002
17.000000000000	0.18318720749040
19.000000000000	0.20200908658622
21.000000000000	0.21934205240658
23.000000000000	0.23563861328798
25.000000000000	0.25110520370329
27.000000000000	0.26471680219661
29.000000000000	0.27767091940505
30.000000000000	0.28343316136911
31.000000000000	0.28912983297751
33.000000000000	0.29933834542597
35.000000000000	0.30798109166667
37.000000000000	0.31457961001856
39.000000000000	0.32021192714602
41.000000000000	0.32401631248604
43.000000000000	0.32636442113361
45.000000000000	0.32760237350767
