" 3D Run ID","ry","rx","Tables\0D Results\Average Phase"
"336","150","190","69.6324"
"337","160","190","-10.6405"
"338","170","190","-28.0582"
"339","180","190","-40.8772"
"340","190","190","-52.6381"
"341","200","190","-66.3493"
"342","20","200","-59.8345"
"343","30","200","-71.4796"
"344","40","200","-86.7404"
"345","50","200","-107.451"
"346","60","200","-137.284"
"347","70","200","-136.362"
"348","80","200","166.588"
"349","90","200","97.2352"
"350","100","200","97.9336"
"351","110","200","62.9857"
"352","120","200","35.2877"
"353","130","200","10.5182"
"354","140","200","-18.5498"
"355","150","200","18.0558"
"356","160","200","-19.0008"
"357","170","200","-35.0095"
"358","180","200","-48.7212"
"359","190","200","-62.2151"
"360","200","200","-66.4052"
"0","","",""
