#
#"theta"	"Average Phase (rx=20)"
#-------------------------------
25.000000000000	73.080532884372
27.000000000000	73.151403171030
29.000000000000	73.223331123923
30.000000000000	73.235585472006
31.000000000000	73.133540841369
33.000000000000	73.166471731563
35.000000000000	73.372526472883
37.000000000000	73.279720436117
39.000000000000	73.183678812251
41.000000000000	73.193342072081
43.000000000000	73.338671742335
45.000000000000	73.213611633183
#
#"theta"	"Average Phase (rx=60)"
#-------------------------------
1.0000000000000	59.711572999768
3.0000000000000	59.272686736746
5.0000000000000	59.409016219904
7.0000000000000	59.391205840744
9.0000000000000	59.502673682548
11.000000000000	59.306528907368
13.000000000000	59.439530354482
15.000000000000	59.504639336100
17.000000000000	59.528511055206
19.000000000000	59.580601642600
21.000000000000	59.576166896354
23.000000000000	59.608439267869
25.000000000000	59.598479988437
27.000000000000	59.767100427257
